date,open,high,low,close,volume,adj_close
2011-01-28,131.28999999999999,134.30000000000001,131.28999999999999,133.41999999999999,10800,133.41999999999999
2011-01-27,133.34,133.58000000000001,131.06,131.06,2800,131.06
2011-01-26,132.88999999999999,136.41999999999999,132.55000000000001,134.36000000000001,10000,134.36000000000001
2011-01-25,132.90000000000001,133.5,132.34999999999999,133.36000000000001,6500,133.36000000000001
2011-01-24,134.24000000000001,134.84999999999999,133.44999999999999,133.59,1500,133.59
2011-01-21,134.02000000000001,134.49000000000001,134.02000000000001,134.30000000000001,1500,134.30000000000001
2011-01-20,135.00999999999999,135.00999999999999,134.38999999999999,134.72,8900,134.72
2011-01-19,137.69,137.69,136.91999999999999,136.91999999999999,5400,136.91999999999999
2011-01-18,136.83000000000001,136.94,136.53,136.59999999999999,4400,136.59999999999999
2011-01-14,136.5,136.5,135.97,136.09,5700,136.09
2011-01-13,136.5,136.5,135.97,136.09,5700,136.09
2011-01-12,136.5,136.5,135.97,136.09,5700,136.09
2011-01-11,136.5,136.5,135.97,136.09,5700,136.09
2011-01-10,136.5,136.5,135.97,136.09,5700,136.09
2011-01-07,136.5,136.5,135.97,136.09,5700,136.09
2011-01-06,136.5,136.5,135.97,136.09,5700,136.09
2011-01-05,136.5,136.5,135.97,136.09,5700,136.09
2011-01-04,136.5,136.5,135.97,136.09,5700,136.09
2011-01-03,136.5,136.5,135.97,136.09,5700,136.09
